ID,Codigo_CPV,Descricao
1821,44221110-9,Caixilhos para janelas
1822,37530000-2,"Artigos para parques de diversão, jogos de salão e de mesa"
1823,48223000-7,Pacote de software para correio electrónico
1824,38127000-1,Estações meteorológicas
1825,77313000-7,Serviços de manutenção de parques
1826,38520000-6,Scanners
1827,39171000-1,Expositores
1828,45314300-4,Instalação de infra-estruturas para cabos
1829,31158000-8,Carregadores
1830,42912300-5,Máquinas e aparelhos para filtrar ou depurar água
1831,42513210-0,Vitrinas frigoríficas
1832,72318000-7,Serviços de transmissão de dados
1833,77510000-8,Serviços de repovoação cinegética
1834,42410000-3,Equipamento de elevação e de movimentação
1836,33141613-0,Sacos para sangue
1837,72810000-1,Serviços de auditoria informática
1838,14410000-8,Sal-gema
1839,71315210-4,Serviços de consultoria em matéria de instalações técnicas em edifícios
1840,34113000-2,Veículos automóveis com tracção às quatro rodas
1841,85141210-4,Serviços de tratamento médico ao domicílio
1843,44910000-2,Pedra para construção
1844,77312100-1,Serviços de eliminação de ervas daninhas
1845,44610000-9,"Tanques, reservatórios, contentores e vasos de pressão"
1846,32412100-5,Rede de telecomunicações
1847,03121200-7,Flores cortadas
1848,48422000-2,Séries de pacotes de software
1849,33162200-5,Instrumentos para blocos operatórios
1850,50410000-2,"Serviços de reparação e manutenção de aparelhos de medição, ensaio e controlo"
1851,72319000-4,Serviços de fornecimento de dados
1852,44621100-0,Radiadores
1853,90513000-6,Serviços de tratamento e eliminação de resíduos e lixos não-perigosos
1854,72212517-6,Serviços de desenvolvimento de software para TI
1855,14221000-6,Argila | 18235400-9 - Coletes | 30141100-0 - Calculadoras de bolso | 31111000-7 - Adaptadores | 31158100-9 - Carregadores de acumuladores | 31411000-0 - Pilhas alcalinas | 31681400-7 - Componentes eléctricos | 32424000-1 - Infra-estrutura de rede | 32562100-1 - Cabos de fibra óptica para transmissão de informação | 33631600-8 - Anti-sépticos e desinfectantes | 37411200-4 - Equipamento para patinagem e hóquei sobre gelo | 37452100-2 - Equipamento de badmínton | 37453600-4 - Barreiras | 37461500-2 - Mesas de ténis | 37524100-8 - Jogos educativos | 39162200-7 - Dispositivos e material de apoio à formação | 39541200-8 - Redes de matérias têxteis | 44212300-2 - Estruturas e partes | 44921100-3 - Gesso
1856,42419000-6,Peças para equipamento de elevação e movimentação
1857,79822300-5,Serviços de tipografia
1858,03114100-4,Palha
1859,39717000-1,Ventoinhas e aparelhos de ar condicionado
1860,90524100-7,Serviços de recolha de resíduos hospitalares
1861,85311200-4,Serviços de assistência social a pessoas com deficiência
1862,44115710-9,Coberturas (alpendres)
1863,51100000-3,Serviços de instalação de equipamento eléctrico e mecânico
1864,03121210-0,Arranjos florais
1865,66100000-1,Serviços de banca e investimentos
1866,09121000-3,"Gás de hulha, gás de cidade ou gases similares"
1867,85121251-7,Serviços de gastroenterologia
1868,42995000-7,Máquinas de limpeza diversas
1869,45212410-3,Obras de construção de edifícios relacionados com alojamento
1870,85312500-4,Serviços de reabilitação
1871,79995200-7,Serviços de catalogação
1872,72212421-6,Serviços de desenvolvimento de software para gestão de instalações
1873,37453000-8,Equipamento para desportos de pista
1874,34522550-2,Canoas
1875,71313400-9,Avaliação do impacto ambiental para construção
1877,50116100-2,Serviços de reparação de sistemas eléctricos
1878,72511000-0,Serviços de software de gestão de rede
1879,50313100-3,Serviços de reparação de fotocopiadoras
1880,22111000-1,Livros escolares
1881,15112130-6,Frangos
1882,38433000-9,Espectrómetros
1883,32360000-4,Aparelhos de intercomunicação
1884,34996000-5,"Equipamento de controlo, segurança ou sinalização para estradas"
1885,31625300-6,Sistemas de alarme contra roubo
1886,15331170-9,Produtos hortícolas congelados
1887,45260000-7,Edificação de coberturas e outras construções especializadas
1888,44230000-1,Carpintaria de estruturas
1890,15321700-1,Misturas de sumos não concentrados
1892,03211300-6,Arroz
1893,92231000-9,Serviços bilaterais internacionais e linhas alugadas privadas internacionais
1895,45443000-4,Obras de fachada
1896,79320000-3,Serviços de sondagens de opinião
1897,33673000-8,Medicamentos para doenças obstrutivas das vias respiratórias
1898,30121200-5,Equipamento para fotocópia
1899,34900000-6,Equipamento e peças sobressalentes diversas para transportes
1900,32333000-6,Aparelhos para gravação ou reprodução de vídeo
1901,80513000-3,Serviços de equitação
1902,39293400-6,Relva artificial
1903,34144700-5,Veículos utilitários
1904,37535000-7,"Carrosséis, baloiços, pavilhões de tiro ao alvo e outras diversões de parques e feiras"
1905,71355200-3,Serviços de topografia cadastral
1907,50413100-4,Serviços de reparação e manutenção de equipamento para detecção de gás
1908,63720000-2,Serviços auxiliares dos transportes por vias navegáveis
1909,43251000-7,Pás carregadoras com retroescavadora
1910,33731120-0,Lentes para óculos
1911,32570000-9,Equipamento para comunicações
1912,33141620-2,Kits médicos
1913,75112000-4,Serviços administrativos relacionados com actividades comerciais
1915,50312600-1,Manutenção e reparação de equipamento para as tecnologias da informação
1916,15821150-5,Tostas
1917,39221240-1,Tigelas
1918,35261000-1,Painéis informativos
1919,72421000-7,Serviços de desenvolvimento de aplicações para clientes de Internet ou intranet
1920,48326100-0,Sistema de cartografia digital
1921,33692400-1,Soluções para perfusão
1922,34111100-9,Automóveis familiares
1923,30233132-5,Unidades de disco rígido
1924,42214100-0,Fornos para cozedura de alimentos
1925,44421500-2,Portas blindadas ou reforçadas
1926,72900000-9,Serviços informáticos de segurança (back-up) e serviços informáticos de conversão de catálogos
1927,32561000-3,Conexões de fibra óptica
1928,18412000-0,Vestuário de desporto
1929,98351100-9,Serviços de parques de estacionamento
1930,34922000-6,Equipamento para marcação de estradas
1931,71317100-4,Serviços de consultoria em matéria de controlo e protecção contra incêndios e explosões
1933,51620000-4,Serviços de instalação de equipamento para escritório
1934,98351000-8,Serviços de gestão de parques de estacionamento
1936,38432200-4,Cromatógrafos
1937,33141300-3,Aparelhos para punção venosa e recolha de sangue
1938,50421200-4,Serviços de reparação e manutenção de equipamentos de raios X
1939,45231400-9,Construção de linhas para o transporte de electricidade
1940,42921330-0,Máquinas para embalar
1941,77312000-0,Serviços de monda
1942,39330000-4,Equipamento para desinfecção
1943,71631440-6,Serviços de controlo de caudal
1944,31612200-1,Motores de arranque
1946,39224200-0,Escovas
1947,33141111-1,Pensos adesivos
1948,38436000-0,Agitadores e acessórios
1949,79421200-3,"Serviços de concepção de projectos, excepto projectos de construção"
1950,33761000-2,Papel higiénico
1951,72240000-9,Serviços de programação e análise de sistemas
1952,77315000-1,Serviços de sementeira
1953,33662100-9,Medicamentos usados em oftalmologia
1954,33166000-1,Aparelhos para dermatologia
1955,39298400-1,Estatuetas
1956,44161200-8,Condutas de água
1957,64212100-6,Serviço de Mensagens Curtas (SMS)
1958,33622000-6,Medicamentos para o aparelho cardiovascular
1959,39151300-8,Mobilário modular
1960,48400000-2,Pacote de software para transacções comerciais e pessoais
1961,32580000-2,Equipamento para tratamento de dados
1962,85311300-5,Serviços de assistência social a crianças e jovens
1963,50433000-9,Serviços de calibragem
1964,92341000-3,Serviços de circo
1965,09331000-8,Painéis solares
1966,79330000-6,Serviços de estatística
1967,42415110-2,Empilhadores
1968,18424300-0,Luvas descartáveis
1969,45442180-2,Renovação de pintura
1970,42637000-0,"Máquinas-ferramentas para furar, escarear ou fresar metais"
1971,15612200-3,Farinhas de cereais | 15821200-1 - Bolachas e biscoitos doces
1972,48160000-7,Pacote de software para bibliotecas
1973,45236000-0,Nivelamento do terreno
1974,42419800-4,Peças para dispositivos transportadores
1975,77231400-2,Serviços de inventário florestal
1976,03221000-6,Produtos hortícolas
1977,45235320-2,Construção de plataformas para estacionamento de aeronaves
1978,39831000-6,Preparações para lavagem
1979,42514000-2,Máquinas e aparelhos para filtrar ou depurar gases
1980,34620000-9,Material circulante
1981,39221130-7,Recipientes para alimentos
1982,79560000-7,Serviços de classificação
1983,42953000-1,Peças para calandras
1984,09220000-7,"Vaselina, ceras e essências especiais"
1985,34144430-1,Veículos varredores de ruas
1986,72212984-0,Serviços de desenvolvimento de software para ensaio de programas
1987,30125110-5,Tóner para impressoras laser e aparelhos de fax
1988,03451100-7,Plantas de canteiro
1989,15895000-8,Produtos de restauração rápida
1990,42162000-2,Caldeiras para produção de vapor
1991,33764000-3,Guardanapos de papel
1992,18333000-2,Camisolas de gola pólo
1993,72300000-8,Serviços relacionados com dados
1994,80511000-9,Serviços de formação de quadros
1995,72264000-3,Serviços de reprodução de software
1998,34996100-6,Semáforos
1999,44164310-3,Tubos e acessórios
2000,50211000-7,Serviços de reparação e manutenção de aeronaves
2001,45112720-8,Trabalhos de paisagismo em campos de desporto e zonas de recreio
2002,15235000-4,Conservas à base de peixe
2003,45422100-2,Obras em madeira
2004,66514100-7,Seguros relacionados com transportes
2005,32530000-7,Equipamento para comunicações envolvendo satélite
2006,30191140-7,Acessórios de identificação pessoal
2007,38546000-4,Sistema de detecção de explosivos
2008,30141000-9,Máquinas de calcular
2009,71510000-6,Serviços de inspecção do local
2010,14520000-2,Pedras preciosas e semipreciosas; pedra-pomes; esmeril; abrasivos naturais; outros minerais e metais preciosos
2011,75240000-0,Serviços de segurança e ordem pública
2012,16600000-1,Máquinas especializadas para a agricultura ou a silvicultura
2013,39714110-4,Extractores de ar
2014,44220000-8,Carpintaria de limpos
2015,55200000-2,Parques de campismo e outros tipos de alojamento não hoteleiro
2016,30237131-6,Cartões electrónicos
2017,24110000-8,Gases industriais
2018,33141118-0,Toalhetes
2020,63122000-0,Serviços de depósito
2021,72212443-6,Serviços de desenvolvimento de software para contabilidade
2024,30237240-3,Câmara Web | 39160000-1 - Mobiliário escolar | 39162110-9 - Material pedagógico
2026,32560000-6,Material de fibra óptica
2027,45421152-4,Instalação de paredes divisórias
2028,33793000-5,Artigos de vidro para laboratório
2029,45110000-1,Demolição e destruição de edifícios e movimento de terras
2030,72422000-4,Serviços de desenvolvimento de aplicações para servidores de Internet ou intranet
2031,48450000-7,Pacote de software para contabilização do tempo de trabalho ou recursos humanos
2032,22114000-2,"Dicionários, mapas, livros de música e outros livros"
2033,22993200-9,Papel ou cartão termossensíveis
2034,42122000-0,Bombas (equipamento)
2035,30231300-0,Visores
2036,38410000-2,Aparelhos de contagem
2037,44113800-3,Material para revestimento de estradas
2038,34992100-8,Sinais de trânsito luminosos
2039,45261000-4,Edificação de vigamentos e coberturas e obras conexas
2040,79571000-7,Serviços de envio por correio
2041,51514000-8,Serviços de instalação de máquinas diversas de uso geral
2042,39222100-5,Material descartável para fornecimento de refeições (catering)
2043,31518000-0,Luzes de sinalização
2044,63120000-6,Serviços de armazenagem e depósito
2045,34928430-1,Sinais
2046,72212333-2,Serviços de desenvolvimento de software para gestão de contactos
2047,51610000-1,Serviços de instalação de computadores e equipamento para processamento da informação
2048,39162100-6,Equipamento de ensino
2049,39713430-6,Aspiradores
2050,79212110-7,Serviços de qualificação da governação empresarial
2051,45215221-2,Construção de centro de dia
2053,33192500-7,Tubos de ensaio
2054,48930000-6,Pacote de software para formação e entretenimento
2055,71314200-4,Serviços de gestão da energia
2056,22213000-6,Revistas
2057,45317000-2,Outras obras de instalação eléctrica
2058,42994000-0,Máquinas para trabalhar borracha ou plástico
2059,32321300-2,Material audiovisual
2061,92232000-6,TV por cabo
2062,79951000-5,Serviços de organização de seminários
2063,24440000-0,Fertilizantes diversos
2064,16700000-2,Tractores
2065,30233000-1,Dispositivos de armazenagem e leitura de conteúdos digitais
2066,03222321-9,Maçãs
2067,15894100-2,Conservas de produtos vegetarianos
2068,22500000-5,"Chapas, cilindros e outros meios utilizados na impressão"
2069,43414000-8,Máquinas trituradoras
2070,30232110-8,Impressoras laser
2071,77500000-5,Serviços de criação de animais
2072,90513700-3,Serviços de transporte de lamas
2075,90513900-5,Serviços de eliminação de lamas
2076,45214100-1,Construção de jardins de infância
2077,32331300-5,Aparelhos para reprodução de som
2078,51313000-9,Serviços de instalação de equipamento de áudio
2079,51112000-0,Serviços de instalação de equipamento para distribuição e controlo de electricidade
2080,90650000-8,Serviços de remoção de amianto
2081,44212300-2,Estruturas e partes
2082,77230000-1,Serviços relacionados com silvicultura
2083,50116500-6,"Serviços de reparação de pneumáticos, incluindo montagem e calibragem"
2084,45233128-2,Construção de rotunda
2085,55270000-3,Serviços prestados por estabelecimentos de alojamento e pequeno-almoço
2086,09122200-2,Gás butano
2087,42122400-4,Bombas centrífugas e elevadores de líquidos
2088,34911000-6,Veículos de tracção animal ou manual e outros veículos de propulsão não mecânica
2089,50720000-8,Serviços de reparação e manutenção de aquecimento central
2090,66516400-4,Serviços de seguros de responsabilidade civil global
2091,75300000-9,Serviços relacionados com a segurança social obrigatória
2092,19245000-5,Tecidos para forros
2093,39181000-4,Bancadas de laboratório
2094,31518600-6,Projectores de luz
2095,45222000-9,"Construção de obras de engenharia civil excepto pontes, túneis, poços e passagens subterrâneas"
2096,48482000-0,Pacote de software para apoio a decisões empresariais (business intelligence)
2097,15821000-9,Produtos de panificação e de pastelaria torrados
2098,22473000-6,Manuais técnicos
2099,92224000-7,Televisão digital
2100,24323000-4,Ácidos gordos monocarboxílicos industriais
2101,39713400-7,Máquinas para manutenção de pisos
2102,41100000-0,Água natural
2103,38344000-8,Aparelhos para controlo da poluição
2104,15412200-1,Gorduras de origem vegetal | 15511400-7 - Leite meio-gordo | 15897200-4 - Produtos enlatados
2106,33114000-2,Aparelhos para espectroscopia
2108,42411000-0,Talhas e guinchos
2109,79713000-5,Serviços de guarda
2110,63111000-0,Serviços de movimentação de contentores
2111,38636100-3,Lasers
2112,15230000-9,Peixe seco ou salgado; peixe em salmoura; peixe fumado
2113,32344280-2,Rádios portáteis
2114,33696200-7,Reagentes para análises ao sangue
2115,31211100-9,Quadros de distribuição eléctrica
2116,32224000-9,Aparelhos emissores de televisão
2117,80650000-5,"Formação e simulação em aeronaves, mísseis e naves espaciais militares"
2118,22853000-4,Pastas para processos | 30197600-2 - Papel e cartão transformados
2119,38515200-0,Microscópios de fluorescência
2121,50514200-3,Serviços de reparação e manutenção de reservatórios
2122,44111000-1,Materiais para edifícios
2124,24111500-0,Gases médicos
2125,90690000-0,Serviços de remoção de pichagens e graffiti
2126,50760000-0,Reparação e manutenção de sanitários públicos
2127,44331000-9,Barras
2128,79811000-2,Serviços de impressão digitalizada
2129,30140000-2,Máquinas de calcular e de contabilidade
2130,30195910-4,Quadros brancos
2131,50246100-2,Serviços de colocação em doca seca
2132,98360000-4,Serviços marítimos
2134,45432111-5,Colocação de revestimentos flexíveis em solos
2136,45212210-1,Construção de instalações desportivas especializadas
2137,85111100-1,Serviços hospitalares de cirurgia
2138,03211000-3,Cereais
2139,48460000-0,"Pacote de software analítico, científico, matemático ou previsional"
2140,33651100-9,Antibacterianos de uso sistémico
2141,42642100-9,Máquinas-ferramentas para trabalhar madeira
2142,98133100-5,Serviços de apoio à educação cívica e a instalações colectivas
2143,98380000-0,Serviços de canis
2145,48621000-7,Pacote de software para sistemas operativos de unidades centrais
2146,90721000-7,Serviços de segurança ambiental
2147,37412300-2,Equipamento e acessórios para surf e natação
2148,31154000-0,Fontes de alimentação ininterruptas
2149,37313000-5,Instrumentos musicais de cordas
2150,45112710-5,Trabalhos de paisagismo em áreas verdes
2151,45262200-3,Construção de fundações e perfuração de poços de água
2153,31216000-3,Pára-raios
2154,45421132-8,Instalação de janelas
2155,44617100-9,Embalagens de cartão
2157,45261213-0,Colocação de coberturas metálicas
2158,72212500-4,Serviços de desenvolvimento de software para comunicações e multimédia
2159,45311000-0,Instalação de cabos e acessórios eléctricos
2160,38221000-0,Sistemas de informação geográfica (SIG ou equivalentes)
2161,19710000-6,Borracha sintética
2163,44617300-1,Caixas prefabricadas
2164,30237200-1,Acessórios para computadores
2166,15330000-0,Frutos e produtos hortícolas transformados
2167,42530000-0,Peças para equipamento de refrigeração e congelação e para bombas de calor
2168,30199500-5,"Arquivadores, classificadores de correspondência, caixas para armazenagem e artigos similares"
2169,33692200-9,Produtos para nutrição parenteral
2171,45111200-0,Preparação e limpeza dos locais para construção
2172,32441000-6,Equipamento de telemetria
2173,30211100-2,Supercomputador
2174,79996000-2,Serviços de organização de negócios
2175,18200000-1,Vestuário exterior
2178,19510000-4,Artigos de borracha
2179,09211100-2,Óleos para motores
2180,15555100-4,Gelados
2181,72315000-6,Serviços de apoio e gestão de redes de dados
2182,92320000-0,Serviços de exploração de instalações para fins artísticos
2183,45212321-2,Construção de auditório
2186,44611000-6,Tanques
2187,50118000-5,Serviços rodoviários de emergência automóvel
2188,79314000-8,Estudos de viabilidade
2189,03212100-1,Batatas
2190,45421110-8,Instalação de caixilharia de portas e janelas
2191,45213315-4,Construção de abrigo para paragem de autocarro
2193,31620000-8,"Aparelhos de sinalização acústica ou visual | 50410000-2 - Serviços de reparação e manutenção de aparelhos de medição, ensaio e controlo"
2194,30197645-9,Cartão para impressão
2195,03144000-2,Produtos para a agricultura
2196,39222110-8,Pratos e talheres descartáveis
2197,45232152-2,Construção de estação de bombagem
2198,38293000-5,Equipamento para sismologia
2199,71351600-9,Serviços de previsão meteorológica
2200,45212600-2,Construção de pavilhão
2201,45243110-6,Obras relacionadas com a estabilização de falésias
2202,45315500-3,Instalações de média tensão
2203,32522000-8,Equipamento para telecomunicações
2204,90711300-7,Análise de indicadores ambientais fora do âmbito da construção
2205,73111000-3,Serviços relacionados com laboratórios de investigação
2206,44112400-2,Tectos
2207,42924790-3,Aparelhos desodorizantes
2208,85312000-9,Serviços de acção social sem alojamento
2209,77120000-7,Serviços de compostagem
2210,85312310-5,Serviços de orientação
2211,50334140-8,Serviços de reparação e manutenção de aparelhos telefónicos
2212,33193220-7,Peças e acessórios para cadeiras de rodas
2213,34114300-2,Veículos para serviços de assistência social
2214,22459000-2,Bilhetes
2215,09134220-5,Gasóleo ou combustível para motores diesel (EN 590)
2216,14711000-8,Ferro
2217,98361000-1,Serviços marítimos ligados ao meio aquático
2218,71356400-2,Serviços de planeamento técnico
2219,44113620-7,Asfalto
2220,15131490-6,"Pratos à base de carne de suíno, preparados | 15530000-2 - Manteiga | 15540000-5 - Queijo | 15551300-8 - Iogurte"
2222,31521000-4,Candeeiros
2223,72514300-4,Serviços de gestão de instalações para manutenção de sistemas informáticos
2224,34631000-9,Peças para locomotivas ou material circulante
2225,33670000-7,Medicamentos para o aparelho respiratório
2226,72212450-8,Serviços de desenvolvimento de software para contabilização do tempo de trabalho ou recursos humanos
2227,44300000-3,"Cabos, arame e produtos afins"
2228,39131100-0,Prateleiras de arquivo
2229,30192121-5,Canetas esferográficas | 30197000-6 - Pequeno equipamento de escritório
2230,18443340-1,Bonés | 30190000-7 - Equipamento e material de escritório diverso | 39225710-5 - Garrafas
2231,42636100-4,Prensas hidráulicas
2232,42931100-2,Centrifugadoras de laboratório e acessórios
2233,72212781-7,Serviços de desenvolvimento de software para gestão de sistemas
2234,33651000-8,Anti-infecciosos gerais de uso sistémico
2235,18222000-1,Vestuário formal de trabalho
2236,42996900-3,Equipamento para o tratamento de lamas
2238,70220000-9,Serviços de arrendamento ou locação de propriedades não residenciais próprias
2239,38421110-6,Debitómetros
2240,35510000-2,Navios de guerra
2242,34114121-3,Ambulâncias
2243,71631400-4,Serviços técnicos de inspecção de estruturas de engenharia
2244,39162000-5,Equipamento pedagógico
2245,51200000-4,"Serviços de instalação de equipamento para medição, controlo, ensaio e navegação"
2246,30220000-7,Equipamento de cartografia digital
2247,45262500-6,Obras de alvenaria e assentamento de tijolos
2248,15841000-5,Cacau | 15861100-2 - Café torrado | 15861200-3 - Café descafeinado
2250,98394000-1,Serviços de estofamento
2251,32520000-4,Equipamento e cablagem para telecomunicações | 50330000-7 - Serviços de manutenção de equipamento para telecomunicações
2253,50420000-5,Serviços de reparação e manutenção de equipamento médico e cirúrgico
2255,45233110-3,Construção de auto-estradas
2256,72212311-2,Serviços de desenvolvimento de software para gestão de documentos
2258,90481000-2,Exploração de uma estação de tratamento de águas residuais
2259,64214400-3,Aluguer de linhas terrestres de comunicação
2260,03142400-2,Ceras
2261,79211120-3,Serviços de registo de compras e vendas
2262,45212130-6,Construção de parque de diversões
2263,45221220-0,Pontões
2264,48520000-9,Pacote de software para multimédia
2265,45234120-3,Obras relacionadas com vias férreas urbanas
2266,85144000-0,Serviços de saúde com alojamento
2267,34352000-9,Pneus para veículos pesados
2268,63512000-1,Serviços de venda de bilhetes de viagem e de circuitos organizados
